reporter_area_label,year,business_arrivals,personal_arrivals,tourists,total_arrivals,air_arrivals,expenditure,acc_establishments,acc_capacity,ALOS,exp_per_arrival,acc_guests,acc_overnights
Belgium,2021,1035650.0000000001,2207400.0,3243000.0,3243000.0,,8305291582.828309,3652.0,275213.0,1.72769060072912,2560.990312312152,2313000.0,4341000.0
Belgium,2022,2371377.0,5848800.0,8220000.0,8220000.0,,9697274910.17319,3711.0,284400.0,1.78963442850532,1179.7171423568357,5728000.0,10916000.0
Belgium,2023,2849000.0,6431000.0,9280000.0,9280000.0,,10657724086.3003,1406.0,212055.0,1.8052470485352,1148.461647230636,6446000.0,12345000.0
Belgium,2024,2984000.0,6654000.0,9638000.0,9638000.0,,10451387219.9678,1375.0,212609.0,1.79346987745308,1084.3937767138202,6628000.0,12595000.0
Belize,2019,13200.0,490000.0,503000.0,1674000.0,384400.0,,987.0,23078.0,6.1,,,
Belize,2020,9000.0,135100.0,144100.0,487000.0,110400.0,247118946.121948,924.0,22097.0,6.26,507.431100866423,,
Belize,2021,15600.0,203500.0,219000.0,437000.0,201600.0,374116275.80122095,786.0,19517.0,,856.1013176229312,,
Benin,2019,171200.0,138200.0,309000.0,337000.0,115000.0,240860000.0,1253.0,57337.0,5.51,714.7181008902077,,1705000.0
Benin,2020,153600.0,171300.0,325000.0,354000.0,121100.0,202451895.235728,1315.0,60204.0,5.51,571.8980091404745,,1791000.0
Bermuda,2019,47300.0,222200.0,269000.0,805000.0,269000.0,601000000.0,41.0,7706.0,4.7,746.583850931677,194000.0,911000.0
Bermuda,2020,9400.0,32700.000000000004,42100.0,51400.0,42100.0,93518904.81468,41.0,7370.0,6.61,1819.4339458108948,27400.0,181000.0
Bermuda,2021,6100.0,66000.0,72200.0,86400.0,72200.0,142856105.936036,41.0,7322.0,6.2,1653.4271520374537,44000.0,273000.0
Bermuda,2022,23000.0,122900.0,145900.0,548500.0,145900.0,398629348.71766603,42.0,8348.0,5.12,726.7627141616518,99000.0,507000.0
Bhutan,2019,17400.0,298200.0,316000.0,315600.0,142900.0,120000000.0,160.0,12112.0,,380.22813688212926,,2210000.0
Bhutan,2020,2300.0,27500.0,29800.0,29800.0,11200.0,84389321.77893911,173.0,12926.0,,2831.8564355348694,,216000.0
Bhutan,2021,,1.0,1.0,,1.0,1756412.14561593,182.0,13500.0,,,,113.0
Bolivia (Plurinational State of),2019,,1089300.0,1239000.0,,383000.0,977000000.0,1489.0,83384.0,1.52,,566000.0,860000.0
Bolivia (Plurinational State of),2020,39200.0,284100.0,323300.0,323300.0,107500.0,239584930.830453,1229.0,67637.0,1.35,741.0607201684287,132219.0,179000.0
Bolivia (Plurinational State of),2021,8751.0,158100.0,180000.0,166851.0,127200.0,268368849.00902402,1270.0,70560.0,1.39,1608.4341658666956,90237.0,125000.0
Bolivia (Plurinational State of),2022,118434.0,549200.0,724000.0,667634.0,264200.0,674519264.822447,1424.0,80387.0,,1010.3129331676441,209118.0,
Bosnia and Herzegovina,2019,236000.0,962000.0,1198000.0,1198000.0,570000.0,1225000000.0,690.0,57687.0,2.0,1022.5375626043406,1139000.0,2283000.0
Bosnia and Herzegovina,2020,46000.0,151000.0,197000.0,197000.0,113000.0,442814561.504098,498.0,44605.0,2.41299790356394,2247.789652305066,189000.0,469000.0
Bosnia and Herzegovina,2021,90700.0,411200.0,502000.0,502000.0,360000.0,1061217291.6730101,583.0,52375.0,2.26049515608181,2113.978668671335,485000.0,1157000.0
Bosnia and Herzegovina,2022,144000.0,770900.0,915000.0,915000.0,658300.0,1492004850.08049,623.0,56991.0,2.13135593220339,1630.6063935305904,882000.0,1917000.0
Bosnia and Herzegovina,2023,144000.0,1054000.0,1198000.0,1198000.0,,1925718202.96645,617.0,56918.0,2.0646884272997,1607.4442428768364,1159000.0,2421000.0
Bosnia and Herzegovina,2024,140000.0,1249000.0,1388775.0,1388775.0,,2023636942.14368,640.0,61209.0,2.02020202020202,1457.1380836663102,1344000.0,2730000.0
Botswana,2019,273800.0,1180800.0,1454600.0,1555400.0,120400.0,712400000.0,,,,458.01723029445805,,
Botswana,2020,69300.0,259200.0,328500.0,358200.0,14800.0,116966005.22117999,,,,326.53826136566164,,
Botswana,2021,110700.0,203100.0,314000.0,338000.0,36600.0,207735611.496777,,,,614.6024008780385,,
Brazil,2019,978400.0,5374800.0,6353000.0,6353200.0,4288500.0,6127000000.0,,,,964.3958949820562,,
Brunei Darussalam,2019,43500.0,289800.0,333000.0,4449000.0,333200.0,,89.0,11812.0,2.34,,,
Brunei Darussalam,2020,8800.0,53500.0,62300.0,1071000.0,62300.0,37738403.946812,90.0,11912.0,4.5,35.236604992354806,,
Brunei Darussalam,2021,2100.0,1400.0,3500.0,110000.0,3500.0,30066992.5217871,90.0,11912.0,5.8,273.33629565261,,
Bulgaria,2019,1761200.0,10791000.0,7775000.0,12552000.0,,4832000000.0,2166.0,415079.0,3.33,384.95857233906946,3959000.0,17032000.0
Bulgaria,2020,731500.0,4241800.0,1290000.0,4973000.0,,1845140000.0,1960.0,340647.0,2.97,371.03157048059524,1142500.0,4527000.0
Bulgaria,2021,866400.0,6322000.0,2300000.0,7188000.0,,2720340000.0,1960.0,369344.0,3.12,378.4557595993322,1845000.0,7818000.0
Bulgaria,2022,1235100.0,9652900.0,5557000.0,10888000.0,,3792600000.0,2276.0,424243.0,3.17,348.3284349742836,2984000.0,12557000.0
Burkina Faso,2019,372800.0,196600.0,143000.0,569400.0,133000.0,173000000.0,871.0,43140.0,2.16,303.82859149982437,143000.0,516000.0
Burkina Faso,2020,247470.0,188100.0,67000.0,67000.0,53517.0,127690598.040944,943.0,45733.0,2.11009174311927,1905.8298215066268,67000.0,200000.0
Burkina Faso,2021,284010.0,235800.0,106000.0,106000.0,94483.0,144818369.516179,1035.0,48896.0,2.05576923076923,1366.2110331715,106000.0,335000.0
Burkina Faso,2022,270982.0,259700.0,116000.0,116000.0,111862.0,128605480.44415799,1091.0,50031.0,2.06628693699803,1108.667934863431,115904.0,363000.0
Burkina Faso,2023,296608.0,-175608.0,121000.0,121000.0,121606.0,201202110.71899801,1255.0,58790.0,2.03217077359879,1662.8273613140332,120803.0,358813.0
Burkina Faso,2024,255131.0,-123131.0,132000.0,132000.0,129104.00000000001,,1391.0,63943.0,2.15280731962592,,132340.0,441660.0
Cambodia,2019,1371400.0,5239200.0,6611000.0,6610600.0,4404000.0,5312000000.0,3755.0,228226.0,,803.5579221250719,,
Cambodia,2020,272000.0,1034200.0,1306000.0,1306200.0,756300.0,1118955020.85515,3783.0,216591.0,,856.6490743034375,,
Cambodia,2021,91100.0,105300.0,196400.0,196400.0,99800.0,196652576.56929898,3284.0,213945.0,,1001.2860314119093,,
Cambodia,2022,431000.0,1845600.0,2276600.0,2276600.0,791600.0,1529325743.985,,,,671.7586506127558,,
Canada,2019,14169200.0,18260800.0,22145000.0,32430000.0,10999000.0,,,,,,,
Canada,2023,10780000.0,16429000.0,18344000.0,27209000.0,9364000.0,45409921853.388306,18168.0,,2.16295899222728,1668.9302015284761,7087000.0,23099000.0
Canada,2024,11855000.0,17963000.0,19913000.0,29818000.0,10269000.0,49886032445.2887,18569.0,,2.11612934692484,1673.0173869907,6612000.0,21052000.0
Cayman Islands,2019,31000.0,471800.0,503000.0,2334000.0,503000.0,964000000.0,,27928.0,5.9,413.0248500428449,403000.0,2377700.0
Cayman Islands,2020,7900.0,113900.0,122000.0,660000.0,121800.0,259460090.39547,,28714.0,6.1,393.12134908404545,94000.0,573400.0
Central African Republic,2019,40200.0,47100.0,87000.0,87300.0,87000.0,21500000.0,87.0,4212.0,2.1,246.27720504009164,,
Central African Republic,2020,1200.0,33400.0,34600.0,34600.0,35000.0,30900000.0,91.0,4312.0,2.37,893.0635838150289,,
Chad,2020,3300.0,7100.0,11000.0,10400.0,11000.0,,45.0,5430.0,1.38,,10400.0,14300.0
Chad,2021,17400.0,15700.0,40000.0,33100.0,40000.0,,45.0,6016.0,1.4,,31500.0,44000.0
Chile,2019,487600.0,4030400.0,4518000.0,5431000.0,2078900.0,3316000000.0,5024.0,,2.01,610.5689559933713,3732000.0,8025000.0
Chile,2020,,,1119094.0,1310432.0,422572.0,840940903.218884,5153.0,,2.13,641.7279974992094,2694197.43073593,5540844.04733045
Chile,2022,,,2030479.0,2269156.0,1135339.0,2050772237.9789002,,,2.06,903.7599168937262,6221797.11868687,12161884.7349928
Chile,2023,384968.569645358,3345538.43064234,3730507.0,4255034.0,1758494.0,3677251769.40479,,,2.02,864.2120766613828,6587088.2862193305,13336861.8983045
China,2019,6284700.0,42828800.0,65725000.0,162538000.0,25298600.0,,8920.0,3281600.0,,,,
"China, Hong Kong Special Administrative Region",2019,3033100.0,20719300.0,23752000.0,55913000.0,11869800.0,33045000000.0,1823.0,,,591.0074580151306,,
"China, Hong Kong Special Administrative Region",2023,1942700.0,32056900.0,17159300.0,33999600.0,,20866296730.688198,1636.0,,,613.7218299829468,,
"China, Hong Kong Special Administrative Region",2024,2241000.0,42261800.0,21943900.0,44502800.0,,22458415752.531097,1585.0,,,504.65174668854763,,
Colombia,2019,460300.0,2353700.0,4169000.0,4531000.0,2671100.0,6784000000.0,21447.0,844053.0,,1497.241227102185,,
Colombia,2020,88480.0,814300.0,1252000.0,1386617.0,758200.0,1931838294.25781,22713.0,821748.0,,1393.2025168145278,,
Colombia,2021,91900.0,1306100.0,2127000.0,2145811.0,1234000.0,3238625595.58745,23708.0,833832.0,,1509.2781216926608,,
Colombia,2022,207200.0,3097300.0,4519000.0,4721656.0,2901700.0,7330254261.8893,38523.0,968156.0,,1552.4752887311784,,
Comoros,2019,8100.0,37000.0,45100.0,45100.0,45100.0,72700000.0,72.0,2304.0,7.0,1611.9733924611974,,
Comoros,2020,1491.0,5470.0,7000.0,7000.0,6959.0,18474905.0766221,68.0,2271.0,7.0,2639.272153803157,3300.0,23100.0
Comoros,2021,3936.0,24900.0,28800.0,28800.0,28800.0,71921933.2103127,71.0,2460.0,7.0,2497.289347580302,13800.0,96600.0
Cook Islands,2019,6000.0,165600.0,172000.0,171600.0,,227800000.0,,,,1327.5058275058275,,
Cook Islands,2020,600.0,24600.0,25200.0,25200.0,,37000000.0,,,,1468.2539682539682,,
Cook Islands,2021,400.0,26000.0,26300.0,26400.0,,43000000.0,,,,1628.7878787878788,,
Cook Islands,2022,1900.0,111600.0,113600.0,113500.0,,,,,,,,
Costa Rica,2019,161200.0,2977800.0,3139000.0,3378300.0,2418300.0,4339000000.0,2890.0,,12.56,1284.3737974721014,,
Costa Rica,2021,52952.0,1294103.0,1347055.0,1375793.0,1270483.0,1834338120.45467,3006.0,,13.62,1333.2951399336018,,
Costa Rica,2022,99988.0,2249549.0,2349537.0,2555904.0,2117960.0,4031080962.77324,3133.0,,13.55,1577.1644642260585,,
Costa Rica,2023,227089.0,2524045.0,2751134.0,3092779.0,2471150.0,4958292998.38613,2987.0,,,1603.1837381158273,,
Costa Rica,2024,168366.0,2751117.0,2919483.0,3220646.0,2661488.0,5616290664.59791,3068.0,,,1743.8397963010868,,
Cuba,2019,24800.0,4238300.0,4263000.0,4276000.0,4263000.0,2645000000.0,406.0,183795.0,6.62,618.5687558465856,2945000.0,19486000.0
Cuba,2020,5100.0,1079700.0,1085000.0,1086000.0,1085000.0,1152000000.0,341.0,175441.0,3.58,1060.7734806629835,1815000.0,6490000.0
Cuba,2021,4600.0,351700.0,355500.0,356400.0,356000.0,417000000.0,339.0,178897.0,5.07,1170.03367003367,647000.0,3282000.0
Cuba,2022,12200.0,1601200.0,1613400.0,1614100.0,1613000.0,1049500000.0,350.0,185886.0,5.0,650.2075460008674,1687000.0,8442000.0
Curaçao,2019,20460.0,443200.0,464000.0,1293000.0,483100.0,706000000.0,,,8.2,546.0170146945089,281000.0,2341000.0
Curaçao,2020,4900.0,170000.0,175000.0,436000.0,180200.0,282508141.893855,,,9.4,647.9544538849884,104000.0,987000.0
Curaçao,2021,14500.0,250400.0,265000.0,418000.0,272100.0,553164545.357542,,,10.8,1323.360156357756,173000.0,1719000.0
Curaçao,2022,21300.0,468300.0,489600.0,1034200.0,500600.0,995076978.027933,,,9.5,962.1707387622636,283000.0,2391500.0
Cyprus,2019,248500.0,3728300.0,3977000.0,4117000.0,4004600.0,3251000000.0,,133263.0,5.42,789.6526597036677,2689000.0,16560000.0
Cyprus,2020,74022.0,557588.0,631609.0,631609.0,,734313511.757801,,134074.0,3.37274166885849,1162.607739531579,532321.7022921221,2633160.0443316903
Cyprus,2021,111729.0,1825203.0,1936931.0,1936931.0,,2099709321.06081,,133669.0,4.60045901003816,1084.0392977658007,1404355.4672780498,8193773.130218901
Cyprus,2022,195795.0,3005285.0,3201080.0,3201080.0,,2879789602.2897496,,130023.0,5.0540646457952,899.6306253794812,2173160.40662538,12932333.789559
Cyprus,2023,240398.0,3605253.0,3845652.0,3845652.0,,3646336316.07936,,125070.0,4.94045284575897,948.1711595535321,2536974.92083807,14427849.295921
Cyprus,2024,278878.0,3761323.0,4040200.0,4040200.0,,3906131523.50423,,139180.0,4.81852879061779,966.8163762942997,3026624.53178297,16537635.2284632
Côte d’Ivoire,2019,885700.0,1184500.0,,2070000.0,790000.0,550000000.0,,148608.0,3.0,265.7004830917874,,
Côte d’Ivoire,2020,286200.0,382000.0,,668000.0,284100.0,199211644.611519,,159351.0,2.0,298.2210248675434,,
Côte d’Ivoire,2021,246700.0,329100.0,,576000.0,576000.0,314948960.471477,,191154.0,2.0,546.7863897074253,,
Denmark,2019,1526000.0,30539000.0,14725000.0,32065000.0,,,570.0,153566.0,2.01,,3806000.0,7664000.0
Denmark,2020,373000.0,15658000.0,6229000.0,16031000.0,,3987901714.3749404,607.0,161325.0,1.81800505541513,248.76188100398855,904000.0,1971000.0
Denmark,2021,483000.0,17888800.0,7555000.0,18372000.0,,4426763066.14039,606.0,167798.0,1.82369389256806,240.951614747463,1251000.0,2757000.0
Denmark,2022,1243000.0,30287000.0,14190000.0,31530000.0,,8385978884.544629,618.0,174688.0,1.84032733847179,265.968248796214,3375000.0,7083000.0
Djibouti,2019,72400.0,95100.0,167000.0,167500.0,168000.0,,39.0,3835.0,,,,177000.0
Djibouti,2020,41500.0,33300.0,75000.0,74800.0,75000.0,29686981.2796462,38.0,3708.0,,396.8847764658583,,153000.0
Djibouti,2021,54600.0,59500.0,114000.0,114100.0,114000.0,38386009.5317942,42.0,3879.0,,336.4242728465749,,167000.0
Djibouti,2022,68100.0,76800.0,145000.0,144900.0,145000.0,45508570.730527095,42.0,4236.0,,314.06881111474877,,175000.0
Dominica,2019,9300.0,80200.0,90000.0,322000.0,50000.0,,57.0,,9.67,,27000.0,261090.0
Dominica,2020,2700.0,19100.0,22000.0,140000.0,13200.0,34879554.4444444,68.0,,10.74,249.1396746031743,7000.0,75180.0
Dominica,2021,3200.0,11800.0,15000.0,66000.0,14400.0,25248050.3703704,109.0,,16.83,382.5462177328848,7000.0,117810.0
Dominica,2022,5900.0,55200.0,61000.0,235000.0,38500.0,75218507.7777778,,,10.29,320.07875650118217,20000.0,205800.0
Dominican Republic,2019,122500.0,6323500.0,6446000.0,7550000.0,6446000.0,,887.0,,8.52,,,46647000.0
Dominican Republic,2020,80060.0,2325250.0,2405310.0,2748182.0,2405310.0,2674800000.0,905.0,,9.06,973.2979839035406,1699194.0,15394697.64
Dominican Republic,2021,113614.0,4880699.0,4994313.0,5327447.0,4994313.0,5697100000.0,894.0,,9.55,1069.3865185331736,3655221.0,34907360.55
Dominican Republic,2022,249481.0,6913933.0,7163414.0,8488856.0,7163414.0,8395299999.999999,929.0,,8.58,988.9789625362945,5805364.22436444,49782522.5151552
Dominican Republic,2023,331897.01204500603,7726773.23588256,8058671.274029041,10317612.274029,8058671.274029041,9751000000.0,988.0,,8.02,945.0830038016403,6730802.1381496405,53991523.1853647
Dominican Republic,2024,354697.64864813996,8181002.904718489,8535700.72276276,11162229.7227628,8535700.72276276,10972400000.0,1001.0,,8.01,982.9935660277904,7125362.4968257,57085701.1238847
Ecuador,2019,311200.0,1796400.0,,2108000.0,1220500.0,2193700000.0,4191.0,265720.0,7.0,1040.6546489563568,1576000.0,11031000.0
Ecuador,2020,120500.0,386900.0,,507000.0,394600.0,703830974.657045,3076.0,141351.0,7.0,1388.226774471489,378000.0,2646000.0
Ecuador,2021,216000.0,453400.0,,669000.0,651300.0,1060066501.68424,3434.0,157170.0,7.0,1584.5538141767413,499000.0,3493000.0
Ecuador,2022,141000.0,1124000.0,,1265000.0,1040099.9999999999,1802627577.53718,3817.0,171419.0,7.0,1425.0020375787983,945000.0,6615000.0
Egypt,2019,116000.0,12759600.0,12876000.0,13026000.0,11316600.0,14256000000.0,1204.0,625203.0,,1094.42653155228,,
El Salvador,2019,112200.0,1653400.0,1766000.0,2639000.0,772900.0,1664000000.0,578.0,26258.0,8.8,630.5418719211823,715000.0,3488000.0
El Salvador,2020,33222.0,516000.0,549000.0,766000.0,292964.0,755355867.365712,291.0,15718.0,10.7,986.1042654904857,172656.961004713,1840719.14751554
El Salvador,2021,47514.0,1171400.0,1219000.0,1436000.0,812991.0,1225235921.65828,315.0,16406.0,11.2,853.228357700752,243000.0,2729982.46525331
El Salvador,2022,101022.0,1790200.0,1891000.0,2541000.0,1010224.0,2235097732.7782598,352.0,17475.0,8.5,879.613432813168,556000.0,4717566.7097148895
